HS10,HS-Reformatted,HS10-Description,ANZSIC06,Level 2 ANZSIC06,Level 2 ANZSIC06 description,Standard sector number,Standard sector description,HS4,HS4 description
0101.10.00.11,0101100011,"Horses; live, pure-bred, thoroughbred, race breeding stock, stallions",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.13,0101100013,"Horses; live, pure-bred, thoroughbred, race breeding stock, mares",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.22,0101100022,"Horses; live, pure-bred, thoroughbred, sport breeding stock (excluding race breeding stock), stallions",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.24,0101100024,"Horses; live, pure-bred, thoroughbred, sport breeding stock (excluding race breeding stock), mares",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.31,0101100031,"Horses; live, pure-bred, thoroughbred, breeding stock (excluding race or sport breeding stock), stallions",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.34,0101100034,"Horses; live, pure-bred, thoroughbred, breeding stock (excluding race or sport breeding stock), mares",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.41,0101100041,"Horses; live, pure-bred, standardbred, race breeding stock, stallions",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.44,0101100044,"Horses; live, pure-bred, standardbred, race breeding stock, mares",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.51,0101100051,"Horses; live, pure-bred, standardbred, sport breeding stock (excluding race breeding stock), stallions",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.54,0101100054,"Horses; live, pure-bred, standardbred, sport breeding stock (excluding race breeding stock), mares",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.61,0101100061,"Horses; live, pure-bred, standardbred, breeding stock (excluding race or sport breeding stock), stallions",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.64,0101100064,"Horses; live, pure-bred, standardbred, breeding stock (excluding race or sport breeding stock), mares",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.10.00.90,0101100090,"Asses, mules and hinnies; live, pure-bred breeding animals",A019900,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.11.00.02,0101110002,"Horses; live, thoroughbred, race breeding stock, stallions",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.11.00.08,0101110008,"Horses; live, thoroughbred, race breeding stock, mares",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.11.00.31,0101110031,"Horses; live, standardbred, race breeding stock, stallions",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.11.00.38,0101110038,"Horses; live, standardbred, race breeding stock, mares",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.19.00.03,0101190003,"Horses; live, for racing, thoroughbred, stallions, colts and geldings",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.19.00.12,0101190012,"Horses; live, for racing, thoroughbred, mares and fillies",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
0101.19.00.22,0101190022,"Horses; live, for racing, standardbred, stallions, colts and geldings",A019100,A01,Agriculture,1,"Agriculture, forestry & fishing",0101,Live horses
